id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3589417,2,3/23/2016 13:28,3/23/2016 14:09,1,0,40.75694275,-73.87081146,40.77401352,N,2484
id1960095,2,3/16/2016 15:34,3/16/2016 15:50,5,-73.99128723,40.76042938,-73.99973297,40.72967148,N,944
id3682453,1,4/28/2016 19:05,4/28/2016 19:18,2,-74.00298309,40.72462082,-73.98735046,40.72050476,N,757
id2340648,1,1/16/2016 14:27,1/16/2016 14:32,1,-73.96614075,40.76503372,-73.97309113,40.75375366,N,299
id2888696,2,6/5/2016 11:29,6/5/2016 11:48,2,-73.98233795,40.74569321,-73.81532288,40.73857117,N,1157
id3101877,1,4/9/2016 0:24,4/9/2016 0:31,1,0,40.75977707,-73.99373627,40.74559784,N,406
id1474412,2,4/22/2016 11:57,4/22/2016 12:02,6,-73.97291565,0,-73.9706192,40.78920364,N,330
id1715469,1,3/5/2016 11:56,3/5/2016 12:07,1,-73.97264099,40.78093719,-73.95319366,40.77864075,N,666
id0693657,2,5/22/2016 16:53,5/22/2016 17:03,1,-73.94759369,40.77888107,-73.94856262,40.7973938,N,611
id0166632,1,3/19/2016 23:19,3/19/2016 23:27,1,-73.98736572,40.72932434,0,40.72925949,N,490
id3350836,1,1/31/2016 17:18,1/31/2016 17:50,1,0,40.64484024,-73.9185791,40.70404434,N,1909
id2258894,1,6/11/2016 21:35,6/11/2016 21:58,2,-73.7769928,40.64513779,-73.85755157,0,N,1346
id2540271,1,4/12/2016 19:57,4/12/2016 20:04,1,-74.00805664,40.7067337,-74.00850677,40.71745682,N,470
id1640738,2,4/7/2016 15:31,4/7/2016 15:50,1,-73.98152924,40.76863861,-73.95860291,40.77246094,N,1133
id0748858,2,2/14/2016 15:06,2/14/2016 15:13,2,-73.9556427,40.77957153,-73.97145844,40.79534531,N,414
id2661100,2,6/28/2016 22:20,6/28/2016 22:51,1,0,0,-73.98033905,40.78372955,N,1836
id3874493,1,5/26/2016 14:51,5/26/2016 15:20,1,-73.99385834,40.73267365,-73.96681213,40.76145172,N,1750
id2756363,1,1/9/2016 23:30,1/9/2016 23:36,1,-73.98232269,40.74745941,0,40.74350739,N,323
id3969215,2,6/28/2016 8:16,6/28/2016 8:38,6,-73.99546051,40.72491837,-73.97888184,40.76525116,N,1275
id3519744,1,3/10/2016 19:14,3/10/2016 19:36,2,-73.98493195,0,-73.99710083,40.73332596,N,1279
id3022217,1,4/8/2016 13:02,4/8/2016 13:15,1,-74.01595306,40.71505356,-74.00077057,40.7240715,N,811
id2306193,1,4/27/2016 22:37,4/27/2016 22:56,1,0,40.72558212,-73.9739151,40.68783188,N,1197
id3380296,2,4/24/2016 16:23,4/24/2016 16:31,1,-74.01119232,40.71575928,-74.00042725,40.7324295,N,483
id0398424,2,1/10/2016 9:22,1/10/2016 9:28,1,-73.98220825,40.7705574,-73.97459412,40.76174164,N,337
id0611178,1,4/29/2016 18:07,4/29/2016 18:14,2,-73.97898865,40.78259659,-73.96434021,40.80317307,N,404
id0857305,2,2/28/2016 2:56,2/28/2016 3:27,1,-73.98903656,0,-73.99552155,40.60762024,N,1854
id3393825,2,2/25/2016 12:40,2/25/2016 12:44,6,-73.96598816,40.76835632,0,0,N,232
id1364286,2,3/19/2016 13:37,3/19/2016 13:56,6,0,40.71112823,-73.9836731,40.74822998,N,1094
id2517139,1,6/10/2016 23:24,6/10/2016 23:39,1,-73.98474884,40.73636627,-73.94911957,40.7770462,N,887
id0930990,2,1/8/2016 1:00,1/8/2016 1:15,1,-73.99176788,40.73109055,-73.96035767,40.69073105,N,892
id1456361,1,2/28/2016 13:08,2/28/2016 13:14,1,-73.97550964,40.78979874,-73.9671402,40.79335785,N,396
id1610105,1,4/13/2016 16:58,4/13/2016 17:44,2,-74.00248718,40.74458694,-73.94911194,40.77080536,N,2771
id0105001,2,5/7/2016 3:18,5/7/2016 3:27,1,0,40.73348236,-73.98487854,40.73860168,N,546
id0823794,1,5/14/2016 19:53,5/14/2016 20:20,1,-73.95168304,40.77196884,-74.00416565,40.72979355,N,1578
id0541468,1,1/8/2016 13:42,1/8/2016 13:50,1,-73.98127747,40.78165817,-73.98239136,40.7678299,N,483
id0189789,2,2/8/2016 20:32,2/8/2016 20:39,1,-73.96635437,40.76725388,-73.98095703,40.77957153,N,415
id2975103,2,6/10/2016 15:48,6/10/2016 16:04,1,-73.95374298,40.76691818,0,40.79076004,N,961
id1091954,1,4/29/2016 1:10,4/29/2016 1:14,1,-73.97676849,40.75191498,-73.96800995,40.75569916,N,257
id2248441,2,4/12/2016 8:18,4/12/2016 9:33,2,0,0,-73.99495697,40.74607849,N,4537
id0724563,2,3/9/2016 9:13,3/9/2016 9:22,5,-73.98377991,40.74335861,-74.00296783,40.73873901,N,510
id2565319,2,6/26/2016 7:46,6/26/2016 7:52,1,-73.98982239,40.73469925,-73.97834015,40.75138855,N,362
id1545259,2,5/14/2016 13:26,5/14/2016 13:41,1,-74.00541687,40.73981857,-73.98856354,0,N,903
id0822952,2,4/17/2016 0:05,4/17/2016 0:32,1,-73.97853851,40.78321075,-74.01207733,40.70735168,N,1633
id2619232,1,1/14/2016 18:53,1/14/2016 18:58,1,-73.95542908,40.77928543,-73.94459534,40.77919769,N,301
id0075136,2,4/19/2016 12:23,4/19/2016 12:29,6,0,40.75587082,0,40.7592392,N,364
id0691501,2,3/6/2016 16:19,3/6/2016 16:33,6,-74.00237274,40.73963165,-73.97592163,40.76475143,N,795
id3138002,2,1/21/2016 17:16,1/21/2016 17:48,1,-73.87107086,0,-73.87638855,40.76850891,N,1891
id2294793,2,5/22/2016 13:26,5/22/2016 13:38,2,-73.95970917,40.77398682,-73.98014832,40.7806282,N,729
id3362646,1,2/10/2016 15:59,2/10/2016 16:01,1,-73.9853363,40.77830124,-73.9828949,40.7842865,N,117
id0352549,2,5/6/2016 8:10,5/6/2016 8:16,1,-73.96800232,40.7681694,-73.98066711,40.77000809,N,302
id3348972,1,2/18/2016 22:14,2/18/2016 22:18,1,0,40.77838516,-73.9648056,40.77330399,N,223
id2140596,1,2/29/2016 14:58,2/29/2016 15:05,2,-73.95802307,40.77871704,-73.94361877,40.7779007,N,453
id1597706,1,5/1/2016 15:46,5/1/2016 16:08,1,-73.97183228,40.79711533,-73.87162018,40.77442169,N,1317
id3977726,2,1/27/2016 19:05,1/27/2016 19:21,1,-73.977005,40.75202179,0,40.74441147,N,990
id0178611,1,1/8/2016 4:56,1/8/2016 5:02,1,-73.95467377,0,-73.96318817,0,N,348
id2202925,2,3/25/2016 18:54,3/25/2016 19:12,4,0,40.74895859,-73.99451447,40.72169876,N,1126
id0037527,2,3/20/2016 1:42,3/20/2016 2:04,2,-73.98879242,40.73674011,-73.99273682,40.66637039,N,1305
id0964593,1,4/24/2016 10:21,4/24/2016 10:32,4,-73.98442841,40.7500267,-73.99880981,40.76593781,N,664
id2692815,2,5/13/2016 23:18,5/13/2016 23:23,1,-74.00593567,40.73599625,-73.99611664,40.7402916,N,291
id1950009,1,4/6/2016 20:26,4/6/2016 20:39,1,-73.99526978,40.74439621,-73.97986603,40.77125168,N,768
id2335648,2,5/18/2016 9:58,5/18/2016 10:00,1,-73.991745,40.72978592,-73.98526001,40.72764587,N,170
id0466584,2,2/5/2016 12:23,2/5/2016 12:29,1,-74.01638794,40.70817947,-74.01296997,40.70196915,N,377
id0643406,2,4/5/2016 12:50,4/5/2016 12:55,1,-73.97279358,0,-73.98368073,40.76543045,N,348
id1174140,2,2/16/2016 18:30,2/16/2016 18:35,1,-73.9919281,40.73841095,0,40.73266983,N,273
id3039032,1,4/24/2016 23:49,4/25/2016 0:09,1,-73.86325836,40.76959229,-73.97245026,40.75566483,N,1194
id1797328,1,6/14/2016 17:33,6/14/2016 17:40,1,-73.97432709,40.79115295,-73.96131897,40.81153488,N,423
id3743241,2,2/21/2016 4:00,2/21/2016 4:10,2,-73.98075104,0,-73.994133,40.74621964,N,602
id2005561,2,1/15/2016 18:44,1/15/2016 18:49,5,-74.0071106,40.72809982,-73.9993515,40.73474121,N,310
id1742563,2,6/12/2016 19:30,6/12/2016 20:06,1,-73.87085724,40.77374649,-73.98851776,0,N,2164
id2049325,1,6/13/2016 20:25,6/13/2016 20:55,3,0,40.75246048,-73.94041443,40.69508743,N,1801
id1464271,1,2/11/2016 16:29,2/11/2016 16:31,1,-73.97982025,40.78365707,-73.97636414,40.78553391,N,128
id3009122,1,4/22/2016 6:46,4/22/2016 6:55,1,-73.99481201,40.74530029,0,40.71336365,N,563
id1728524,1,6/3/2016 22:35,6/3/2016 22:46,1,-74.00185394,40.75101471,-73.97312164,40.79009628,N,681
id2910039,2,1/9/2016 11:05,1/9/2016 11:14,3,-73.98171997,40.78007126,0,40.75764084,N,543
id2703358,1,4/8/2016 14:45,4/8/2016 14:52,2,-74.00151825,40.73593903,-74.00595856,40.72421265,N,412
id2805039,2,5/11/2016 10:27,5/11/2016 10:41,4,-73.96205902,40.77936172,-73.98478699,40.76935959,N,856
id3685633,1,4/26/2016 17:44,4/26/2016 17:58,1,-74.00169373,40.72790909,-74.00312805,40.75926971,N,802
id0756624,2,5/3/2016 14:53,5/3/2016 15:05,1,-73.9641571,40.75643158,-73.95384979,40.77706146,N,712
id2260190,2,1/5/2016 12:25,1/5/2016 12:34,1,-73.98047638,0,-73.99086761,40.75756454,N,561
id0013491,1,1/16/2016 9:44,1/16/2016 10:00,1,-73.96612549,40.7647934,-73.99184418,40.7542305,N,933
id3396181,2,1/9/2016 10:40,1/9/2016 10:46,3,-73.98724365,40.73892975,-73.9960022,0,N,378
id3507969,2,3/20/2016 9:35,3/20/2016 9:46,2,-73.97502899,40.75764847,-73.99829102,40.72274017,N,689
id2961260,2,6/1/2016 13:33,6/1/2016 13:46,5,0,40.76588058,0,40.78316498,N,759
id0726192,1,4/18/2016 20:59,4/18/2016 21:03,1,-73.97181702,40.7461586,-73.96866608,40.75452423,N,228
id1998611,2,3/26/2016 8:17,3/26/2016 8:36,3,-73.9899292,0,0,40.77419281,N,1141
id2140950,2,2/14/2016 21:40,2/14/2016 21:54,1,-73.98246002,0,-73.98008728,40.75506973,N,846
id2212274,1,4/20/2016 17:39,4/20/2016 18:09,1,-73.96229553,0,-73.99139404,40.75395966,N,1775
id2140920,2,4/2/2016 15:51,4/2/2016 15:55,1,-73.96730042,0,-73.95775604,40.77369308,N,245
id1025445,2,4/1/2016 21:24,4/1/2016 21:35,1,-73.97811127,40.75703049,-73.99475861,40.76084137,N,653
id1804940,1,3/17/2016 9:31,3/17/2016 10:19,1,-73.99424744,0,-73.95517731,40.76394272,N,2923
id1951047,2,2/24/2016 22:07,2/24/2016 22:15,1,-73.93463898,40.67084122,0,40.6760788,N,500
id0882263,1,4/6/2016 12:55,4/6/2016 13:03,1,-73.98275757,40.75122452,-73.98960114,0,N,518
id3675882,2,1/8/2016 11:03,1/8/2016 11:27,3,-73.97389984,40.75721741,-73.99834442,40.7170372,N,1439
id3017214,1,1/27/2016 16:05,1/27/2016 16:19,1,-73.9743042,40.75619125,-73.9812088,40.76600647,N,875
id0454481,2,6/5/2016 23:14,6/5/2016 23:21,5,0,40.76103973,-73.99491119,40.73096085,N,379
id2102981,1,6/8/2016 20:16,6/8/2016 20:24,1,-73.99323273,40.75267029,-73.99066162,40.74425507,N,447
id2878545,1,1/27/2016 17:34,1/27/2016 17:46,1,-73.98163605,40.75366211,-74.00281525,40.76059341,N,730
id2181572,2,6/5/2016 11:57,6/5/2016 12:00,1,-73.99481964,0,-74.00027466,40.7396965,N,172
id1670526,2,5/5/2016 20:34,5/5/2016 20:52,3,-73.96292114,0,-73.98769379,40.72151566,N,1084
id2272621,2,2/13/2016 0:55,2/13/2016 1:20,1,-73.98731995,40.7365799,-73.98881531,40.71953201,N,1487
id0191300,1,5/15/2016 7:43,5/15/2016 7:54,1,-73.95002747,40.78030777,-73.98487091,40.7446022,N,623
id1555251,1,6/19/2016 19:30,6/19/2016 19:58,1,-73.87295532,40.77416611,0,40.77032852,N,1655
id1145729,2,6/18/2016 8:33,6/18/2016 8:40,6,-73.94137573,40.81866074,0,40.80306244,N,420
id0160491,1,3/3/2016 11:40,3/3/2016 11:51,1,-73.97797394,40.75249863,-73.97898102,40.71982193,N,661
id1969325,2,4/5/2016 22:49,4/5/2016 22:58,1,-73.95430756,40.68566895,-73.92707062,40.67924881,N,524
id1318665,2,1/24/2016 7:40,1/24/2016 7:50,1,-73.93699646,0,-73.90868378,40.77473068,N,597
id1541117,1,1/13/2016 9:17,1/13/2016 9:19,1,-73.98353577,40.75478745,-73.978302,0,N,126
id2482250,1,2/5/2016 8:14,2/5/2016 8:44,1,0,40.7975235,-73.956604,40.77135086,N,1751
id3833453,1,3/13/2016 14:39,3/13/2016 14:53,2,-73.95513916,40.7887764,-73.9799118,40.76532745,N,849
id3770499,2,3/15/2016 21:46,3/15/2016 21:56,4,-73.98930359,40.76298523,-73.96587372,40.76034546,N,597
id3737305,2,4/11/2016 1:45,4/11/2016 2:03,1,-73.99471283,40.75099182,0,40.80653,N,1069
id2913631,2,1/18/2016 1:29,1/18/2016 1:57,1,-73.91272736,40.74411011,-73.95414734,40.82154083,N,1685
id1215244,2,2/15/2016 21:14,2/15/2016 21:17,3,-73.91244507,40.88445663,-73.91786957,40.88177109,N,215
id3580931,1,6/8/2016 21:14,6/8/2016 21:34,1,-73.99502563,40.76053619,-73.92379761,40.86674118,N,1195
id3364318,1,6/19/2016 20:15,6/19/2016 20:17,1,-73.9809494,0,-73.98121643,40.78115463,N,0
id1386020,1,2/19/2016 18:40,2/19/2016 18:56,1,-73.98497009,40.76011276,0,40.74980927,N,939
id3728800,1,4/6/2016 12:27,4/6/2016 12:42,1,-73.98308563,40.7449646,-73.98826599,40.75580978,N,912
id1107918,1,5/7/2016 15:44,5/7/2016 15:56,1,-74.00873566,40.71393967,-73.99203491,40.73489761,N,722
id1080996,1,5/12/2016 16:36,5/12/2016 16:45,4,-74.00406647,40.73158264,0,0,N,527
id2429624,1,4/14/2016 23:00,4/14/2016 23:14,1,-73.98986053,40.71408081,-73.97291565,40.74765396,N,881
id1315819,2,3/16/2016 10:53,3/16/2016 11:17,1,0,40.7784729,-73.98178101,40.75263977,N,1444
id3859864,2,6/26/2016 17:25,6/26/2016 17:40,1,-74.01376343,0,-74.00097656,40.74233627,N,881
id1037397,1,3/1/2016 5:14,3/1/2016 5:21,1,-73.99380493,40.74647903,-73.98399353,40.73212051,N,386
id1702147,1,1/21/2016 17:50,1/21/2016 18:05,1,-73.99140167,40.74077988,-73.99136353,40.76021957,N,926
id3817735,1,2/3/2016 16:04,2/3/2016 16:20,1,-73.95226288,40.79902267,-73.98078156,40.78206253,N,959
id2286946,1,6/2/2016 13:12,6/2/2016 13:28,1,-73.98477936,40.74804306,0,40.7586441,N,911
id2362575,1,3/15/2016 3:30,3/15/2016 3:33,1,-73.98807526,40.71873474,-73.97931671,40.72498703,N,232
id0837884,2,1/14/2016 18:29,1/14/2016 18:44,2,-73.97382355,40.79442978,-73.97950745,40.76692963,N,947
id1535827,2,2/5/2016 12:57,2/5/2016 13:03,2,-73.98742676,0,0,40.73478317,N,336
id3484870,2,3/23/2016 18:31,3/23/2016 18:37,2,-73.98995972,0,-73.98171997,40.73260117,N,403
id3136340,2,3/15/2016 22:13,3/15/2016 22:30,6,-73.9733963,0,-73.98696136,40.71543121,N,983
id0983510,2,3/7/2016 13:08,3/7/2016 13:15,2,-73.97483826,0,-73.97810364,40.76657867,N,435
id1717851,1,1/27/2016 9:52,1/27/2016 10:11,1,0,40.77066803,-73.97872162,40.75978851,N,1133
id0482141,1,6/28/2016 17:25,6/28/2016 17:38,1,-73.99430847,40.75095367,-73.9849472,40.76947403,N,799
id1414287,2,4/16/2016 21:27,4/16/2016 21:34,2,-73.97908783,0,-73.97923279,40.75044632,N,438
id3460044,1,6/6/2016 11:17,6/6/2016 11:24,1,-73.98111725,40.781147,-73.97914124,40.79112625,N,398
id0333663,1,5/18/2016 9:53,5/18/2016 10:13,1,-73.99156189,40.72711945,0,0,N,1215
id2635795,2,6/25/2016 0:50,6/25/2016 1:09,1,-74.00386047,40.72555161,-73.9821167,40.77537918,N,1132
id1654277,1,4/8/2016 23:58,4/9/2016 0:24,1,-74.00591278,40.74007797,0,40.78110886,N,1560
id2626748,2,6/2/2016 6:49,6/2/2016 6:58,1,-73.97905731,40.74620056,-73.95542908,40.76777649,N,517
id2417558,1,2/9/2016 22:42,2/9/2016 22:57,1,-73.97923279,40.78515244,-73.93919373,40.81847382,N,916
id1229136,2,3/30/2016 19:44,3/30/2016 19:54,1,-73.99182129,0,-74.00639343,40.73329926,N,640
id2681222,1,6/19/2016 23:59,6/20/2016 0:12,1,-73.9145813,40.63474655,-73.94377136,40.65592194,N,832
id2772063,1,4/16/2016 12:55,4/16/2016 13:06,1,-73.93785095,40.81249237,-73.95985413,40.81962585,N,672
id2448271,2,2/16/2016 13:06,2/16/2016 13:16,1,-73.98983002,40.73437881,-73.97836304,40.72891998,N,621
id2681924,2,1/14/2016 19:56,1/14/2016 20:09,1,0,40.73803711,-73.99584961,0,N,804
id3130052,1,4/13/2016 20:14,4/13/2016 20:24,1,-73.97779083,0,-73.98451996,40.72483444,N,617
id1212586,1,5/6/2016 13:28,5/6/2016 13:57,1,-73.97267151,40.78086853,-73.9826889,40.75111771,N,1735
id2828153,2,3/31/2016 17:51,3/31/2016 18:05,6,-73.98159027,40.73820877,-73.99301147,40.72816467,N,829
id2142516,1,3/30/2016 19:41,3/30/2016 20:03,1,-73.98249054,40.76226425,0,40.72753906,N,1339
id1298758,1,4/29/2016 10:43,4/29/2016 10:49,1,-73.9814682,0,-73.97930145,40.77362061,N,366
id0207426,2,5/21/2016 14:24,5/21/2016 14:46,2,-74.00157928,40.74089432,-73.99636078,40.76665115,N,1313
id1301296,2,2/20/2016 23:53,2/21/2016 0:23,4,-73.98114014,40.73768997,-73.98596191,40.71894073,N,1792
id1908282,1,2/10/2016 14:40,2/10/2016 14:43,1,-73.97902679,40.7823143,-73.97298431,40.791008,N,171
id2923179,2,1/31/2016 15:13,1/31/2016 15:27,6,-74.00032043,40.75682831,-74.00557709,40.72557831,N,873
id2876600,2,3/16/2016 9:26,3/16/2016 9:48,1,-73.97232819,40.74998856,-73.9875946,40.75054169,N,1272
id3953545,2,6/17/2016 21:05,6/17/2016 21:53,1,0,40.77054977,-73.94372559,40.68406296,N,2896
id1141138,1,4/14/2016 10:38,4/14/2016 11:04,1,-73.96144104,40.78036118,-73.97931671,0,N,1558
id0354409,2,3/9/2016 19:18,3/9/2016 19:26,1,-73.98996735,40.73432922,-74.0047226,40.7407074,N,469
id1477012,2,4/11/2016 19:22,4/11/2016 19:32,1,-73.9543457,0,-73.97895813,40.77248383,N,638
id1281567,2,1/18/2016 15:42,1/18/2016 15:53,1,-73.96685028,0,-73.98588562,40.77771378,N,671
id2223584,2,2/7/2016 21:10,2/7/2016 21:15,5,-74.00991058,40.71655655,0,40.70940399,N,252
id2051800,1,2/1/2016 19:18,2/1/2016 19:53,1,-73.87263489,40.77412033,-73.98339844,40.75565338,N,2090
id2131151,2,3/3/2016 9:10,3/3/2016 9:26,3,-73.97442627,40.75101471,-74.00744629,40.70595932,N,974
id0419168,2,5/6/2016 17:05,5/6/2016 17:35,1,-73.98612976,40.73461914,-73.95722961,40.77988052,N,1788
id1506247,2,4/20/2016 21:27,4/20/2016 21:36,1,-73.99368286,40.75188065,-74.00837708,40.73506165,N,503
id2176009,2,3/26/2016 1:33,3/26/2016 1:43,1,-73.99043274,40.75600815,-73.97171783,40.79887009,N,631
id0617691,1,3/26/2016 21:18,3/26/2016 21:40,4,0,40.7397995,-73.97592926,40.74872589,N,1314
id3732887,1,1/5/2016 13:58,1/5/2016 14:07,1,-73.9752655,40.76066971,-73.97470856,40.75020599,N,570
id1534775,2,4/19/2016 20:33,4/19/2016 20:46,1,-73.97442627,40.763237,-73.990242,40.7405014,N,761
id1385221,1,5/13/2016 21:48,5/13/2016 22:08,1,-73.978508,0,-73.95671082,0,N,1224
id2066130,1,6/20/2016 13:57,6/20/2016 14:09,3,-73.96257782,40.77643204,-73.96616364,40.79470825,N,766
id0489989,2,3/7/2016 22:31,3/7/2016 22:37,1,-74.00161743,40.71591949,0,40.73114014,N,378
id2384198,2,6/14/2016 3:35,6/14/2016 3:57,3,-74.00330353,40.73276901,0,40.67366028,N,1297
id1477954,1,6/6/2016 7:43,6/6/2016 7:53,3,0,40.76490402,-73.9553833,40.78514862,N,584
id1718524,1,3/29/2016 14:56,3/29/2016 15:20,1,-73.97909546,40.72793198,-74.00803375,40.74804688,N,1444
id3468021,2,2/25/2016 13:44,2/25/2016 14:09,1,-73.97033691,40.75225067,-74.00421906,40.74256134,N,1505
id3228376,1,1/4/2016 21:42,1/4/2016 21:46,1,-73.95211792,40.7731781,-73.9516983,40.78184509,N,211
id0259968,1,3/9/2016 7:00,3/9/2016 7:04,1,-73.95558929,40.77943802,-73.9537735,40.78769684,N,256
id2931416,1,1/26/2016 8:57,1/26/2016 9:04,1,-73.95197296,0,-73.95946503,40.77010727,N,398
id1186862,1,5/15/2016 19:26,5/15/2016 19:55,1,-73.98321533,40.77124405,-73.92858124,40.86246872,N,1738
id2918952,2,4/12/2016 14:46,4/12/2016 14:59,1,-73.97106171,40.76398849,-73.95353699,0,N,780
id1955408,2,4/7/2016 9:10,4/7/2016 9:43,1,0,40.77415085,0,40.63851547,N,1995
id2188874,1,6/27/2016 0:13,6/27/2016 0:23,1,-73.99343109,40.7358017,-73.96700287,40.75743866,N,609
id3434974,2,3/14/2016 20:05,3/14/2016 20:11,1,-73.95610046,40.76372528,-73.96601105,40.76527405,N,395
id0362732,2,4/23/2016 15:06,4/23/2016 15:12,1,-74.00034332,40.7324028,-73.99479675,40.74020386,N,317
id0359857,2,2/17/2016 22:13,2/17/2016 22:20,1,-73.98213196,0,0,40.76504517,N,451
id0447804,2,3/12/2016 16:47,3/12/2016 17:09,1,-73.96340179,40.77690506,-73.99672699,40.72534561,N,1352
id1946803,2,6/23/2016 20:39,6/23/2016 21:07,5,-73.99965668,40.73880005,-73.95070648,40.82633972,N,1693
id0891380,1,6/24/2016 23:08,6/24/2016 23:28,2,-73.99118042,40.76052094,-74.00498199,40.7185936,N,1212
id0393951,1,5/26/2016 22:29,5/26/2016 22:38,2,-73.98892975,40.74123764,-73.99115753,40.74991989,N,572
id0445913,2,2/25/2016 19:37,2/25/2016 19:46,5,-73.97061157,40.76034164,-73.98696899,40.75207138,N,587
id1668874,1,6/3/2016 17:06,6/3/2016 17:26,1,0,40.75419998,-73.98918915,40.75609207,N,1244
id3553365,1,1/2/2016 10:35,1/2/2016 10:59,1,-73.98260498,40.75577545,-74.01429749,40.70970154,N,1460
id1016308,1,4/1/2016 23:45,4/2/2016 0:26,2,-73.7815094,40.64487457,-73.97866821,40.76241684,N,2422
id3693176,1,5/20/2016 16:47,5/20/2016 17:05,1,-73.9884491,40.73471451,0,0,N,1107
id0618932,1,3/24/2016 20:43,3/24/2016 20:54,1,-73.9848938,40.75366592,-73.95976257,40.7814064,N,654
id0298305,1,2/13/2016 11:19,2/13/2016 11:35,1,-74.00782013,0,-73.97194672,0,N,969
id3540479,1,4/13/2016 19:32,4/13/2016 19:48,4,-74.01719666,40.7053566,-74.00466919,40.74189758,N,952
